"id";"fecha";"ano";"mes";"dia";"codigo";"nombre";"unidad_medida";"valor"
16;"2016-07-15";2016;7;15;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";1.29
17;"2016-07-15";2016;7;15;"uf";"Unidad de Fomento (UF)";"Pesos";26087.84
18;"2016-07-16";2016;7;16;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";1.29
19;"2016-07-16";2016;7;16;"uf";"Unidad de Fomento (UF)";"Pesos";26091.2
20;"2016-07-17";2016;7;17;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";1.29
21;"2016-07-17";2016;7;17;"uf";"Unidad de Fomento (UF)";"Pesos";26094.56
24;"2013-01-03";2013;1;3;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";4.03
25;"2013-01-03";2013;1;3;"uf";"Unidad de Fomento (UF)";"Pesos";22829.68
26;"2013-01-04";2013;1;4;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.96
27;"2013-01-04";2013;1;4;"uf";"Unidad de Fomento (UF)";"Pesos";22825.99
28;"2013-01-05";2013;1;5;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.92
29;"2013-01-05";2013;1;5;"uf";"Unidad de Fomento (UF)";"Pesos";22822.3
30;"2013-01-05";2013;1;6;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.92
31;"2013-01-06";2013;1;6;"uf";"Unidad de Fomento (UF)";"Pesos";22818.61
32;"2013-01-07";2013;1;7;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.92
33;"2013-01-07";2013;1;7;"uf";"Unidad de Fomento (UF)";"Pesos";22814.92
34;"2013-01-08";2013;1;8;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.82
35;"2013-01-08";2013;1;8;"uf";"Unidad de Fomento (UF)";"Pesos";22811.23
36;"2013-01-09";2013;1;9;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.76
37;"2013-01-09";2013;1;9;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
38;"2013-01-10";2013;1;10;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.77
39;"2013-01-10";2013;1;10;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
40;"2013-01-11";2013;1;11;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.75
41;"2013-01-11";2013;1;11;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
42;"2013-01-12";2013;1;12;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.75
43;"2013-01-12";2013;1;12;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
46;"2013-01-13";2013;1;13;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.75
47;"2013-01-13";2013;1;13;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
48;"2013-01-14";2013;1;14;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.72
49;"2013-01-14";2013;1;14;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
50;"2013-01-15";2013;1;15;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.74
51;"2013-01-15";2013;1;15;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
52;"2013-01-16";2013;1;16;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.76
53;"2013-01-16";2013;1;16;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
54;"2013-01-17";2013;1;17;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.7
55;"2013-01-17";2013;1;17;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
56;"2013-01-18";2013;1;18;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.7
57;"2013-01-18";2013;1;18;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
58;"2013-01-19";2013;1;19;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.7
59;"2013-01-19";2013;1;19;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
60;"2013-01-20";2013;1;20;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.7
61;"2013-01-20";2013;1;20;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
62;"2013-01-21";2013;1;21;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.64
63;"2013-01-21";2013;1;21;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
64;"2013-01-22";2013;1;22;"tabuf360";"Tasa TAB UF 360d";"Porcentaje";3.63
65;"2013-01-22";2013;1;22;"uf";"Unidad de Fomento (UF)";"Pesos";22807.54
